test_case,grid_size,num_searches_factor,random_seed,image_type,serial_image,parallel_image,serial_hash,parallel_hash,hash_match,total_pixels,different_pixels,percent_different,max_difference,avg_difference,error,diff_visualization
g100_f0.4_s3,100,0.4,3,search,q1/images/DungeonHunter_serial_g100_f0.4_s3_search.png,q1/images/DungeonHunterParallel_parallel_g100_f0.4_s3_search.png,19e278f45925bde9a191cf843ee5390c,19e278f45925bde9a191cf843ee5390c,True,,,,,,,
g100_f0.4_s3,100,0.4,3,path,q1/images/DungeonHunter_serial_g100_f0.4_s3_path.png,q1/images/DungeonHunterParallel_parallel_g100_f0.4_s3_path.png,de6b9909eac4e2fab4888a8561ddbbee,de6b9909eac4e2fab4888a8561ddbbee,True,,,,,,,
g100_f0.4_s60,100,0.4,60,search,q1/images/DungeonHunter_serial_g100_f0.4_s60_search.png,q1/images/DungeonHunterParallel_parallel_g100_f0.4_s60_search.png,01946c64d18d7e106001054c5e9059ff,01946c64d18d7e106001054c5e9059ff,True,,,,,,,
g100_f0.4_s60,100,0.4,60,path,q1/images/DungeonHunter_serial_g100_f0.4_s60_path.png,q1/images/DungeonHunterParallel_parallel_g100_f0.4_s60_path.png,014c7eca2e17ca6810cd355bdd2c58d4,014c7eca2e17ca6810cd355bdd2c58d4,True,,,,,,,
g115_f0.1_s3,115,0.1,3,search,q1/images/DungeonHunter_serial_g115_f0.1_s3_search.png,q1/images/DungeonHunterParallel_parallel_g115_f0.1_s3_search.png,c829fa28709a6b8aa9cdb0f895e51009,c829fa28709a6b8aa9cdb0f895e51009,True,,,,,,,
g115_f0.1_s3,115,0.1,3,path,q1/images/DungeonHunter_serial_g115_f0.1_s3_path.png,q1/images/DungeonHunterParallel_parallel_g115_f0.1_s3_path.png,72fefb531cae4704683aaa91bb351577,72fefb531cae4704683aaa91bb351577,True,,,,,,,
g115_f0.1_s60,115,0.1,60,search,q1/images/DungeonHunter_serial_g115_f0.1_s60_search.png,q1/images/DungeonHunterParallel_parallel_g115_f0.1_s60_search.png,9415cfd8080daf7f6e8d0099c2056b12,9415cfd8080daf7f6e8d0099c2056b12,True,,,,,,,
g115_f0.1_s60,115,0.1,60,path,q1/images/DungeonHunter_serial_g115_f0.1_s60_path.png,q1/images/DungeonHunterParallel_parallel_g115_f0.1_s60_path.png,c7e0b1f5230b2c35de3216fb727e5033,c7e0b1f5230b2c35de3216fb727e5033,True,,,,,,,
g115_f0.4_s3,115,0.4,3,search,q1/images/DungeonHunter_serial_g115_f0.4_s3_search.png,q1/images/DungeonHunterParallel_parallel_g115_f0.4_s3_search.png,c31f9903bee97107000ce74314a54ab6,c31f9903bee97107000ce74314a54ab6,True,,,,,,,
g115_f0.4_s3,115,0.4,3,path,q1/images/DungeonHunter_serial_g115_f0.4_s3_path.png,q1/images/DungeonHunterParallel_parallel_g115_f0.4_s3_path.png,77ab62cb35ec40b8e42798683bee3338,77ab62cb35ec40b8e42798683bee3338,True,,,,,,,
